"Spisová značka","Oblast práva","Věc","Forma zjištění","Datum vydání","Právní věty"," "
"6302/2018/VOP","Správa na úseku zaměstnanosti","aktivní politika zaměstnanosti","Sankce - § 20","06.02.2020","",""
"6302/2018/VOP","Správa na úseku zaměstnanosti","aktivní politika zaměstnanosti","Závěrečné stanovisko - § 19","03.09.2019","I. Úřad práce musí pečlivě posuzovat splnění každé podmínky, kterou stanovil pro poskytnutí příspěvku.  II. Úřad práce musí srozumitelně, přiléhavě a přesvědčivě žadateli zdůvodnit, proč žádost zamítl.",""
"6302/2018/VOP","Správa na úseku zaměstnanosti","aktivní politika zaměstnanosti","Sankce - § 20","04.06.2020","",""
"6257/2018/VOP","Věci volební, státní symboly","volby (Poslanecká sněmovna, Senát, obecní zastupitelstva, europarlament)","Zpráva o šetření - § 17","24.01.2019","Registrační úřad nemůže odmítnout kandidátní listinu pro volby do zastupitelstva obce [§ 23 odst. 3 písm. b) zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí] z toho důvodu, že na kandidátní listině je jako typ volební strany (§ 20 odst. 1 písm. b) cit. zákona) uvedeno „sdružení politického hnutí a nezávislých kandidátů“, přestože kandidátní listinu tvoří pouze nezávislí kandidáti. ",""
"6255/2018/VOP","Místní poplatky a řízení o nich","poplatek za komunální odpad","Odložení","01.11.2018","",""
"6246/2018/VOP","Restituce","vydání pozemku","Zpráva o šetření - § 18","19.03.2019","Neobsahuje-li metodický návod k provádění pozemkových úprav přechodné ustanovení o své účinnosti, lze analogicky postupovat podle přechodných ustanovení zákona o pozemkových úpravách. V takovém případě je rozhodující, zda byl zpracovaný návrh pozemkové úpravy vystaven k veřejnému nahlédnutí. Pokud ano postupuje se podle původního metodického návodu, pokud ne, musí pozemkový úřad aplikovat nový metodický návod.",""
"6200/2018/VOP","Matriční úřady a ověřování","jméno a příjmení","Odložení","22.10.2018","",""
"6180/2018/VOP","Příspěvek na péči, dávky pro zdravotně postižené","příspěvek na péči","Zpráva o šetření - § 18","25.03.2019","",""
"6137/2018/VOP","Péče o zdraví","vyřizování stížnosti proti postupu poskytovatele zdravotních služeb dozorovým orgánem","Zpráva o šetření - § 18","25.03.2019","",""
"6137/2018/VOP","Péče o zdraví","vyřizování stížnosti proti postupu poskytovatele zdravotních služeb dozorovým orgánem","Závěrečné stanovisko - § 19","15.07.2019","",""
"6130/2018/VOP","Dozor nad peněžními ústavy, cenová regulace a ostatní působnost Ministerstva financí","vyřizování stížností","Odložení","22.05.2019","",""
"6119/2018/VOP","Územní, stavební řízení, užívání stavby","ostatní","Zpráva o šetření - § 18","25.07.2019","",""
"6044/2018/VOP","Daně a správa daní","daňová exekuce","Zpráva o šetření - § 18","17.05.2019","I.Pojistné na veřejné zdravotní pojištění je veřejnoprávní pohledávkou. Správa placení pojistného na veřejné zdravotní pojištění je správou placení veřejnoprávních pohledávek.  II. Zdravotní pojišťovny vystupují při správě pojistného na veřejné zdravotní pojištění jako správní orgány ve smyslu § 1 odst. 1 správního řádu. Při svém postupu se proto řídí zvláštními právními předpisy a subsidiárně správním řádem a daňovým řádem. Mohou činit pouze to, co jim zákon dovoluje (čl. 2 odst. 2 Listiny základních práv a svobod).   III. Při striktním výkladu ustanovení § 161 odst. 1 daňového řádu, je třeba zdravotní pojišťovny z režimu dělené správy vyloučit, neboť jejich rozpočty nelze považovat za veřejné ve smyslu § 2 odst. 2 daňového řádu. To však neznamená, že zdravotní pojišťovny nemají povinnost postupovat subsidiárně při správě placení pojistného dle daňového řádu.   IV. Daňový řád je obecným právním předpisem upravujícím postup správních orgánů při správě placení veřejnoprávních pohledávek. Zdravotní pojišťovny se do jeho režimu dostávají skrze § 106 odst. 3 správního řádu. Nestanoví-li zvláštní předpisy jinak, jsou povinny postupovat při správě placení pojistného podle daňového řádu stejně jako jiné správní orgány, jejichž postup podléhá režimu dělené správy. Rozsah aplikace správního řádu a daňového řádu na postup zdravotních pojišťoven při správě placení pojistného, je určen zejména tím, zda zvláštní právní předpisy obsahují dostatečně komplexní úpravu či nikoliv.    V. Aplikace občanského zákoníku na postup zdravotních pojišťoven při správě placení pojistného na veřejné zdravotní pojištění přichází v úvahu pouze výjimečně, a to tehdy, odkazují-li na něj výslovně veřejnoprávní předpisy, nebo neobsahují-li veřejnoprávní předpisy adekvátní právní úpravu.  VI. Ustanovení § 153 odst. 3 daňového řádu a § 22 a násl. zákona o pojistném na veřejné zdravotní pojištění sledují jiný účel a pokrývají různé fáze placení pojistného. Z tohoto důvodu nelze považovat právní úpravu § 22 a násl. zákona o pojistném na veřejné zdravotní pojištění za dostatečně komplexní úpravu vylučující aplikaci § 153 odst. 3 daňového řádu.  VII. Ustanovení § 26e zákona o pojistném na veřejné zdravotní pojištění nelze považovat za kompetenční normu opravňující zdravotní pojišťovnu k povolování splátek dluhu. Vzhledem k tomu, že zvláštní právní předpisy neobsahují adekvátní právní úpravu povolení splátek, je třeba skrze § 106 odst. 3 správního řádu aplikovat právní úpravu § 156 a § 157 daňového řádu. Analogická aplikace občanského zákoníku nepřichází v úvahu z důvodu existence adekvátní veřejnoprávní úpravy v daňovém řádu.  VIII. Povolením posečkání (splátek) dluhu na pojistném na veřejné zdravotní pojištění se penále nenahrazuje úrokem z posečkané částky. Daňový řád s účinností od 1. července 2017 totiž obsahuje v § 157 odst. 6 výslovnou výluku v případě plnění, u nichž nevzniká povinnost hradit úrok z prodlení.  IX. Povolení posečkání (splátek) dluhu nepřerušuje běh promlčecí lhůty dle § 16 zákona o pojistném na veřejné zdravotní pojištění, neboť ustanovení § 160 odst. 3 písm. c) daňového řádu nelze na běh promlčecí lhůty aplikovat.",""
"6002/2018/VOP","Azylové řízení a integrace azylantů","neudělení azylu / doplňkové ochrany  ","Zpráva o šetření - § 18","25.04.2019","Základní procesní záruky plynoucí z článku 12 směrnice Evropského parlamentu a Rady 2013/32/EU se vztahují i na řízení o další opakované žádosti o mezinárodní ochranu. Žadatel musí být i v případě další opakované žádosti zejména náležitě poučen v jazyku, kterému rozumí (nebo o němž lze důvodně předpokládat, že mu rozumí) o průběhu řízení,o svých právech, povinnostech během řízení a možných důsledcích, pokud tyto povinnosti nesplní. Musí mít k dispozici tlumočníka, kdykoli je to nutné, aby mohl příslušným orgánům předložit svůj případ a rozhodnutí o jeho žádosti mu musí být v přiměřené době vhodným způsobem oznámeno. ",""
"5971/2018/VOP","Diskriminace - práce a zaměstnání","ostatní","Zpráva o nezjištění diskriminace - § 21b","19.08.2019","Vymezení ""mladého vědeckého pracovníka"" pouze jako osoby do věku 35 let včetně není v souladu s § 7 odst. 2 ADZ diskriminační. Naopak se jedná o opatření, bez jehož existence lze předpokládat, že by vědecká dráha mladých vědců a vědkyň byla na základě výše uvedených faktů velmi nesnadná a mladší vědci a vědkyně by se nemohli postupně integrovat do profesního života.",""
"5913/2018/VOP","Místní poplatky a řízení o nich","poplatek za komunální odpad","Zpráva o šetření - § 18","15.01.2019","",""
"5885/2018/VOP","Daně a správa daní","daňová exekuce","Zpráva o šetření - § 17","15.03.2019","I. Pohledávku Ministerstva spravedlnosti z titulu náhrady nákladů soudního řízení úspěšného účastníka nelze podřadit pod pohledávky uvedené v § 148 odst. 1 občanského soudního řádu, u nichž zákon možnost vedení daňové exekuce výslovně stanoví. Ministerstvo spravedlnosti proto nepochybí, když předá vymáhání takové pohledávky soudnímu exekutorovi, neboť nemá možnost zajistit jej vlastními silami.",""
"5861/2018/VOP","Činnost Vězeňské služby ČR","styk s vnějším světem (realizace návštěv, bezkontaktní návštěvy)","Zpráva o šetření - § 18","16.10.2018","I. Věznice musí zajistit pro realizaci bezkontaktních návštěv odpovídající technické a materiální vybavení.  II. Omezení při bezkontaktních návštěvách musí spočívat pouze v přepážce, která je mezi odsouzeným a návštěvou. Zejména musí být mezi návštěvou a odsouzeným dobrá slyšitelnost a takové návštěvy musí probíhat v dostatečně velkých prostorách, aby návštěva a odsouzený mohli k sobě hovořit tváří v tvář.",""
"5857/2018/VOP","Nevhodné chování soudních osob","nevhodné chování soudních osob","Zpráva o šetření - § 17","13.11.2018","I. Formulaci odůvodnění a výrazy v něm obsažené lze v určitých případech považovat za nevhodné chování soudce (např. použití vulgarismů, urážlivých vyjádření, vyjádření motivovaných osobním antagonismem).  II. Při formulaci odůvodnění je nezbytné zohlednit zásadu citlivého přístupu k oběti a zásadu prevence sekundární viktimizace oběti, i obecnou etickou zásadu zdvořilého, korektního a trpělivého přístupu k účastníkům řízení. ",""
"5856/2018/VOP","Konzulární služba, superlegalizace a ostatní působnost Ministerstva zahraničních věcí","konzulární služba","Odložení","12.03.2019","",""
"5793/2018/VOP","Správa na úseku podnikání, činnost živnostenských úřadů, ochrana spotřebitele, Česká obchodní inspekce a ostatní působnost  Ministerstva průmyslu a obchodu","ochrana spotřebitele - reklamace","Zpráva o šetření - § 18","18.09.2019","",""
"5784/2018/VOP","Daně a správa daní","daňová exekuce","Zpráva o šetření - § 18","12.02.2019","Žádosti o prominutí příslušenství daně dle § 55a zákona č. 337/1992 Sb., o správě daní a poplatků, podané po 1. lednu 2011 (tedy za účinnosti nové právní úpravy)  nemůže správce daně vyhovět, neboť s účinností daňového řádu ztratil až na výjimky (§ 264 odst. 6 zákona č. 280/2009 Sb., daňového řádu) pravomoc prominout příslušenství dle podmínek zákona č. 337/1992 Sb., o správě daní a poplatků. Ohledně takové žádosti je namístě vydat rozhodnutí o zastavení řízení pro zjevnou právní nepřípustnost podání [podle § 106 odst. 1 písm. b) zákona č. 280/2009 Sb., daňového řádu].",""
"5769/2018/VOP","Evidence obyvatel, občanské průkazy, cestovní doklady, osvědčování státního občanství","řízení o zrušení údaje o místu trvalého pobytu","Zpráva o šetření - § 17","16.09.2019","",""
"5676/2018/VOP","Diskriminace - práce a zaměstnání","ukončení zaměstnávání","Zpráva o šetření - § 18","03.06.2019","I. Získá-li inspektorát práce při kontrole v oblasti rovného zacházení statisticky zpracovatelné údaje ohledně chráněných charakteristik (věku, pohlaví atp.), má povinnost je v rámci kontroly vyhodnotit. Pokud z údajů vyplývá významná statistická odchylka ukazující na možnou diskriminaci, musí se s ní v protokolu o kontrole vypořádat a své závěry náležitě odůvodnit.    II. Při kontrole přípustnosti opakovaného uzavírání pracovních smluv na dobu určitou s akademickými pracovníky se inspektorát nesmí spokojit s obecným tvrzením kontrolované osoby, že takový postup připouštěla dřívější právní úprava zákona o vysokých školách. Musí zkoumat jednotlivě každou smlouvu s ohledem na termín jejího uzavření a termíny jejího (opakovaného) prodloužení. Závěr, zda uzavírání pracovních smluv na dobu určitou, je v souladu s právními předpisy, musí být součástí kontrolního zjištění a musí být přesvědčivě odůvodněn.  ",""
"5639/2018/S","","","Čtvrtletní zpráva sněmovně § 24/1 a)","31.01.2018","",""
"5639/2018/S","","","Zpráva sněmovně § 24/1 b)","31.01.2018","",""
"5630/2018/VOP","Činnost Vězeňské služby ČR","hygienické podmínky, nevhodné jednání pracovníků Vězeňské služby ČR, použití donucovacího prostředku","Zpráva o šetření - § 18","26.09.2018","I. O použití donucovacích prostředků a způsobech jejich použití při eskortě do civilního zdravotnického zařízení musí vězeňská služba rozhodovat vždy individuálně – zejm. dle charakteru osobnosti eskortovaného, dle trestné činnosti, ze které je obviněn či za níž je odsouzen, dle tělesné konstituce a zdravotního stavu eskortované osoby, dle poznatků z průběhu výkonu vazby či trestu odnětí svobody a dle požadavku ošetřujícího lékaře).  II. Vězeňská služba má povinnost před provedením plánované zdravotnické eskorty s ohledem na charakter předpokládaného vyšetření sama zajistit eskortované osobě, a to i bez její žádosti, možnost koupání.",""
